,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
502,text,山西,阳城,农商银行,顶格,借,1,-,7,资金,1.6,亿,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,label,,,,,side:1,tlow,,thigh,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,text,借,隔夜,7000W,，,押利率,，,早,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,label,side:1,tlow,total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,text,代,基金,出,隔夜,4700W,+,4000W,",",押上清,AA+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,label,,,side:2,tlow,total,,total,,tag:13,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,text,出,9,天整量,在,账,\,n,出,14,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,label,side:2,tlow,i_tlow,,,,,side:2,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,text,早,~,出,14d,27,-,28d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,label,,,side:2,tlow,tlow,,thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,text,出,21,-,30,天,‘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,label,side:2,tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,text,3.44,借,2,-,7,天,，,高价,借,8,天,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,label,,side:1,tlow,,thigh,i_thigh,,,side:1,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,text,出,4,天,7,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,label,side:2,tlow,i_tlow,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,text,出,跨,月,资金,押利率,限银行,需要,的,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,label,side:2,,,,tag:10,tag:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,text,低价,换,隔夜,7000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,label,,,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,text,诚借,1,-,7,天,资金,，,押利率,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,label,side:1,tlow,,thigh,i_thigh,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,text,借,1,-,7,天,资金,7000,万,，,求金主,，,押存单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,label,side:1,tlow,,thigh,i_thigh,,total,i_total,,,,tag:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,text,借,隔夜,1.1,亿,，,押利率,，,求,小窗,\,n,借,隔夜,1.1,亿,，,押利率,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,label,side:1,tlow,total,i_total,,tag:10,,,,,,side:1,tlow,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,text,出,7d,14d,\,n,出,7d,14d,\,n,出,7d,14d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,label,side:2,tlow,tlow,,,side:2,tlow,tlow,,,side:2,tlow,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,text,出,隔夜,3,亿,+,5.5,亿,1,笔出,压券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,label,side:2,tlow,total,i_total,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,text,4,%,借,1m,大量,\,n4,.,0,%,借,1m,大量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,label,price,i_price,side:1,tlow,,,,,price,i_price,side:1,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,text,出,隔夜,4950w,+,900w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,label,side:2,tlow,total,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,text,出,3,天秒,到,资金,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,label,side:2,tlow,i_tlow,,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,text,出,隔夜,1.6,亿,押利率,限银行,农信,欢迎,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,label,side:2,tlow,total,i_total,tag:10,tag:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,text,出,7D,14D,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,label,side:2,tlow,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,text,借,1,4,ｄ,整量,～,～,～,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,label,side:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,text,借,7D,2500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,label,side:1,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,text,出,精品,隔夜,250,，,欢迎,小窗,\,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,label,side:2,,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,text,借,渣量,跨年,810w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,label,side:1,,,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,text,出,7d,买断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,label,side:2,tlow,mode:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,text,出,上清,所,隔夜,5000,万,，,押,AA+,及,以上,国企,，,4,点前,到,账,，,欢迎,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,label,side:2,tag:13,,tlow,total,i_total,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,text,出,7D,2,千万,限,4,点前,还款,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,text,诚借,1,-,9,天,资金,押利率,求,小窗,\,n,诚借,1,-,9,天,资金,押利率,求,小窗,\,n,诚借,1,-,9,天,资金,押利率,求,小窗,,,,,,,,,,,,,,,,,,,
557,label,side:1,tlow,,thigh,i_thigh,,tag:10,,,,,side:1,tlow,,thigh,i_thigh,,tag:10,,,,,side:1,tlow,,thigh,i_thigh,,tag:10,,,,,,,,,,,,,,,,,,,,,
558,text,出,上清,隔夜,2000,万,4,点前,还款,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,label,side:2,tag:13,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,text,出,开门,还款,隔夜,3000w,~,~,~,\,n,出,正常,还款,1000w,~,~,~,~,全部,可,压,民企,AA,PPN,~,~,~,,,,,,,,,,,,,,,,,,,,,,,
561,label,side:2,,,tlow,total,,,,,,side:2,,,total,,,,,,,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,text,诚借,7,-,10,天,资金,1.5,亿,，,押利率,，,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,label,side:1,tlow,,thigh,i_thigh,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,text,借,14D,整量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,label,side:1,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,text,出,隔夜,2300w,上清,\,n,出,14,天,1000w,上清,\,n,限户,或,填表,',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,label,side:2,tlow,total,tag:13,,,side:2,tlow,i_tlow,total,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,text,借,5,～,7,天,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,label,side:1,,,tlow,i_tlow,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,text,出,2000W,，,14D,，,押中债,利率,，,限银行,农信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,label,side:2,total,,tlow,,tag:12,,,tag:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,text,换,隔夜,大量,，,整量,起,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,label,,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,text,出,7D,：,2,+,2,+,1,；,出,7D,：,2,+,2,+,1,；,出,7D,：,2,+,2,+,1,；,,,,,,,,,,,,,,,,,,,,,,,
575,label,side:2,tlow,,,,,,,,side:2,tlow,,,,,,,,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,text,出,隔夜,或者,7,天,1e,，,押,AA+,及,以上,，,限,自营,，,欢迎,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,label,side:2,tlow,,tlow,i_tlow,total,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,text,出,7,-,11,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,label,side:2,tlow,,thigh,i_thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,text,出,在,帐,秒,到,7,-,21,天,资金,5000,万元,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,label,side:2,,,,,tlow,,thigh,i_thigh,,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,text,出,隔夜,2,个,早,还款,中债,银行,农信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,text,\,n,出,7,-,14d,整量,押,AA,限户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,label,,,side:2,tlow,,thigh,,mode:102,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,text,借,1,个,隔夜,押上清,AA+,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,label,side:1,,,tlow,tag:13,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,text,出,隔夜,-,2,天,8000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,label,side:2,tlow,,tlow,i_tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,text,出,7,天,买断,5000W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,label,side:2,tlow,i_tlow,mode:103,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,text,出,5d,6d,8d,11,-,14d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,label,side:2,tlow,tlow,tlow,tlow,,thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,text,出,7D,资金,，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,text,借,隔夜,或,7,天,资金,1.7,亿,.,压,利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,label,side:1,tlow,,tlow,i_tlow,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,text,加点,借,隔夜,8000,万左右,，,押利率,，,求,小窗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,label,price:2,side:1,tlow,total,i_total,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,text,出,21d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,text,借,5,-,7,天,资金,，,押利率,，,求,小窗,！,\,n,借,5,-,7,天,资金,，,押利率,，,求,小窗,！,\,n,借,5,-,7,天,资金,，,押利率,，,求,小窗,！,,,,,,,,,,
603,label,side:1,tlow,,thigh,i_thigh,,,tag:10,,,,,,,side:1,tlow,,thigh,i_thigh,,,tag:10,,,,,,,side:1,tlow,,thigh,i_thigh,,,tag:10,,,,,,,,,,,,,,
604,text,加权,借,隔夜,4,亿,押存单,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,label,price:1,side:1,tlow,total,i_total,tag:14,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,text,出,3,个,月,5000,万,，,银行,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,label,side:2,,,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,text,出,在,在,账,4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,label,side:2,,,,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,text,借,7D,，,5300W,，,押上清,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,label,side:1,tlow,,total,,tag:13,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,text,减点,一笔,收,隔夜,1.2,亿,押存单,欢迎,小窗,/,我,最美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,label,price:3,,,tlow,total,i_total,tag:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,text,出,1,-,-,2,天,6700w,\,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,label,side:2,,,,tlow,i_tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,text,出,3M,跨季,资金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,text,出,4,天,，,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,label,side:2,tlow,i_tlow,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,text,出,10d,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,text,收,7,天,随便,押,欢迎,小窗,~,~,~,~,~,~,~,~,~,~,~,·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,label,,tlow,i_tlow,,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,text,公募,借,隔夜,5000w,押利率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,label,,side:1,tlow,total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,text,收,隔夜,0.9,亿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,label,,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,text,出,6D,5800w,公募,自营,aa,+,专户,aaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,label,side:2,tlow,total,,,tag:11,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,text,出,7,ｄ,5,0,0,0,中债,～,～,4,0,0,0,上清,～,～,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,label,side:2,,,,,,,,,,,,,,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,text,出,7,天,上清,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,label,side:2,tlow,i_tlow,tag:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,text,出,4D,8000,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,text,诚借,隔夜,6000,万,押利率,有出,的,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,label,side:1,tlow,total,i_total,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,text,买,1M,存单,，,评级,不限,~,\,n,出,1M,资金,~,\,n,、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,label,,tlow,,,,,,,,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,text,借,隔夜,3000,+,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,label,side:1,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,text,出,2,个,月,以上,不,跨,年,资金,5000,万,，,限银行,、,农信社,类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,label,side:2,,,,,,,,,total,i_total,,tag:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,text,出,隔夜,―,18D,",",押存单,或,利率,，,可,买断,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,label,side:2,tlow,,tlow,,tag:14,,,,,mode:103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,text,出,渣量,隔夜,1000,万,质押,宽松,上午,还款,求,带走,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,label,side:2,,tlow,total,i_total,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,text,出,6,-,7D,1,亿,\,n,出,6,-,7D,1,亿,\,n,出,6,-,7D,1,亿,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,label,side:2,tlow,,thigh,total,i_total,,,side:2,,,tlow,total,i_total,,,side:2,,,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,text,出,6,-,10d,押,aa,+,公募,自营,aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,label,side:2,tlow,,thigh,mode:102,tag:11,,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,text,借,隔夜,~,7,天,7500,万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,label,side:1,tlow,,tlow,i_tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,text,出,7,天,8,0,0,0,Ｗ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,label,side:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,text,出,隔夜,1.41,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,label,side:2,tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,text,市场价,换,7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,label,,,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,text,出,7D,14D,21D,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,label,side:2,tlow,tlow,tlow,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,text,出,隔夜,AA+,国企,非,过剩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,label,side:2,tlow,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,text,出,10,天,2.8,E,，,3,点前,还款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,label,side:2,tlow,i_tlow,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,text,封顶,借,1,~,7,天,资金,，,押利率,，,求,匹配,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,label,,side:1,tlow,,thigh,i_tlow,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,text,出,7D,6000w,公募,自营,Aa,+,专户,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,label,side:2,tlow,total,,,tag:11,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,text,出,14,天,在,帐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,label,side:2,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,text,借,3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,label,side:1,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,text,出,隔夜,~,~,~,1.5,e,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,label,side:2,tlow,,,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,text,出,隔夜,7d,7000w,~,~,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,label,side:2,tlow,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,text,出,7,天,，,可,协议回购,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,label,side:2,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,text,诚借,10D,资金,1,亿,求,小窗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,label,side:1,tlow,,total,i_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,text,诚借,3D,一亿,，,押利率,，,求金主,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,label,side:1,tlow,,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,text,出,中债,隔夜,5700w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,label,side:2,,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,text,出,7,天,不限,户,aa,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,label,side:2,tlow,i_tlow,,,tag:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,text,出,隔夜,1300W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,text,借,隔夜,21,天,资金,押利率,敲,小窗,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,label,side:1,tlow,tlow,i_tlow,,tag:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,text,出,隔夜,1700,万,，,在,账,，,押券宽松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,label,side:2,tlow,total,i_total,,,,,mode:102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,text,出,六天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,label,side:2,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,text,出,隔夜,，,出,4,天,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,label,side:2,tlow,,side:2,tlow,i_tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,text,出,14,天,-,1M,大部分,在,账,价优,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,label,side:2,tlow,i_tlow,,tlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,text,出,隔夜,2e,压券宽松,不限,户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,label,side:2,tlow,total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,text,出,隔夜,1E,押利率,存单,\,n,出,隔夜,1E,押利率,存单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
